year,crop,season,temperature,humidity,production,demand
2000,Corn,Winter,20,70,10000,9000
2000,Corn,Spring,25,65,12000,11000
2000,Corn,Summer,30,60,14000,13000
2000,Corn,Fall,25,88,13000,12000
2001,Corn,Winter,20,70,11000,10000
2001,Corn,Spring,25,65,12000,11000
2001,Corn,Summer,30,60,14000,13000
2001,Corn,Fall,25,88,13000,12000
2002,Corn,Winter,20,70,11000,10000
2002,Corn,Spring,25,65,12000,11000
2002,Corn,Summer,30,60,14000,13000
2002,Corn,Fall,25,88,13000,12000
2003,Corn,Winter,20,70,11000,10000
2003,Corn,Spring,25,65,12000,11000
2003,Corn,Summer,30,60,14000,13000
2003,Corn,Fall,25,88,13000,12000
2004,Corn,Winter,20,70,11000,10000
2004,Corn,Spring,25,65,12000,11000
2004,Corn,Summer,30,60,14000,13000
2004,Corn,Fall,25,88,13000,12000
2005,Corn,Winter,20,70,10000,9000
2005,Corn,Spring,25,65,12000,11000
2005,Corn,Summer,30,60,14000,13000
2005,Corn,Fall,25,88,13000,12000
2006,Corn,Winter,20,70,11000,10000
2006,Corn,Spring,25,65,12000,11000
2006,Corn,Summer,30,60,14000,13000
2006,Corn,Fall,25,88,13000,12000
2007,Corn,Winter,20,70,11000,10000
2007,Corn,Spring,25,65,12000,11000
2007,Corn,Summer,30,60,14000,13000
2007,Corn,Fall,25,88,13000,12000
2008,Corn,Winter,20,70,11000,10000
2008,Corn,Spring,25,65,12000,11000
2008,Corn,Summer,30,60,14000,13000
2008,Corn,Fall,25,88,13000,12000
2009,Corn,Winter,20,70,11000,10000
2009,Corn,Spring,25,65,12000,11000
2009,Corn,Summer,30,60,14000,13000
2009,Corn,Fall,25,88,13000,12000
